--------------------------------------------------
ID    FIRST NAME LAST NAME       CITY
    1 Dulcy      Boorer          Matara
    2 Wendel     Slayton         Dikirnis
    3 Alie       Hallet          Yamkino
    4 Delila     Abrahmovici     Jiaotang
    5 Alberta    Firle           Tiang
    6 Anica      Mimmack         Vynohradivka
    7 Delainey   Grieswood       Agalteca
    8 Nixie      Worcester       Coronel Fabriciano
    9 Aubry      Alderman        Suzuka
   10 Ev         Dundridge       Iecava
--------------------------------------------------

